ENTITY_CD,ENTITY_NAME,YEAR,PK,PKHALF,PKFULL,KHALF,KFULL,1,2,3,4,5,6,7,8,9,10,11,12,UGE,UGS,K12
"000000000001","NYC Public Schools",2021,72074,1765,70309,0,57451,61481,61674,63485,63803,65103,64493,65056,67399,75013,74757,66633,63834,8386,10794,869362
"000000000002","Large Cities",2021,6382,883,5499,0,6311,7097,7302,7144,7184,7227,7544,7632,7550,7975,7773,6473,6517,505,989,95223
"000000000003","High Need/Resource Urban-Suburban Districts",2021,9948,4129,5819,0,13283,14910,14679,15033,14867,15290,15347,15486,15312,16294,15700,14203,14343,830,1344,196921
"000000000004","High Need/Resource Rural Districts",2021,5317,1853,3464,615,8947,9873,9787,10020,10058,10020,10418,10896,10789,11103,10333,10004,10043,351,739,133996
"000000000005","Average Need Districts",2021,16225,10302,5923,723,46218,49868,49724,50442,51330,52601,53998,54509,55700,56904,56196,55081,57464,1681,3783,696222
"000000000001","NYC Public Schools",2023,97253,860,96393,0,53911,56221,55450,55644,56594,58709,56703,58294,61019,71724,70858,63301,61348,7785,10283,797844
"000000000002","Large Cities",2023,7815,781,7034,0,6401,6389,6345,6524,6710,6556,6513,6709,7044,8052,7316,6360,6430,474,899,88722
"000000000003","High Need/Resource Urban-Suburban Districts",2023,12273,3182,9091,0,13935,14334,13761,14115,14050,14458,14151,14512,15042,16605,16244,14370,14181,847,1294,191899
"000000000004","High Need/Resource Rural Districts",2023,7239,1500,5739,0,9966,10156,9676,9934,9791,9993,10151,10201,10472,11326,10424,9811,9571,236,695,132403
"000000000006","Low Need Districts",2021,2842,2290,552,423,21672,23734,23955,24332,25251,25720,26246,28370,29170,28889,29321,30347,30796,907,1616,350749
"000000000007","Charter Schools",2021,9,0,9,1,16170,17158,16625,15690,14714,14333,15662,14440,12848,9708,8998,7557,6399,95,102,170500
"000001000000","ALBANY County",2021,989,185,804,0,2735,2972,2954,2937,2987,2910,2995,2892,2889,2932,2964,2835,2840,116,263,38221
"000002000000","ALLEGANY County",2021,322,124,198,0,406,395,372,409,416,418,426,441,428,464,445,427,454,6,35,5542
"000003000000","BROOME County",2021,953,463,490,0,1747,1874,1797,1788,1788,1795,1837,1911,1877,1887,1917,1821,1912,63,103,24117
