INSTITUTION_ID,GROUP_CODE,GROUP_NAME,ENTITY_CD,ENTITY_NAME
"800000081568",1,"Total Public","111111111111","All Public Schools"
"000001000000CTY",2,"County Public Schools","000001000000","ALBANY County"
"000002000000CTY",2,"County Public Schools","000002000000","ALLEGANY County"
"000003000000CTY",2,"County Public Schools","000003000000","BROOME County"
"000004000000CTY",2,"County Public Schools","000004000000","CATTARAUGUS County"
"000005000000CTY",2,"County Public Schools","000005000000","CAYUGA County"
"000006000000CTY",2,"County Public Schools","000006000000","CHAUTAUQUA County"
"000007000000CTY",2,"County Public Schools","000007000000","CHEMUNG County"
"000008000000CTY",2,"County Public Schools","000008000000","CHENANGO County"
"000009000000CTY",2,"County Public Schools","000009000000","CLINTON County"
"000010000000CTY",2,"County Public Schools","000010000000","COLUMBIA County"
"000011000000CTY",2,"County Public Schools","000011000000","CORTLAND County"
"000012000000CTY",2,"County Public Schools","000012000000","DELAWARE County"
"000013000000CTY",2,"County Public Schools","000013000000","DUTCHESS County"
"000014000000CTY",2,"County Public Schools","000014000000","ERIE County"
"000015000000CTY",2,"County Public Schools","000015000000","ESSEX County"
"000016000000CTY",2,"County Public Schools","000016000000","FRANKLIN County"
"000017000000CTY",2,"County Public Schools","000017000000","FULTON County"
"000018000000CTY",2,"County Public Schools","000018000000","GENESEE County"
"000019000000CTY",2,"County Public Schools","000019000000","GREENE County"
"000020000000CTY",2,"County Public Schools","000020000000","HAMILTON County"
"000021000000CTY",2,"County Public Schools","000021000000","HERKIMER County"
"000022000000CTY",2,"County Public Schools","000022000000","JEFFERSON County"
"000023000000CTY",2,"County Public Schools","000023000000","LEWIS County"
"000024000000CTY",2,"County Public Schools","000024000000","LIVINGSTON County"
"000025000000CTY",2,"County Public Schools","000025000000","MADISON County"
"000026000000CTY",2,"County Public Schools","000026000000","MONROE County"
"000027000000CTY",2,"County Public Schools","000027000000","MONTGOMERY County"
"000028000000CTY",2,"County Public Schools","000028000000","NASSAU County"
"000030000000CTY",2,"County Public Schools","000030000000","NYC Public Schools"
"000031000000CTY",2,"County Public Schools","000031000000","NEW YORK County"
"000032000000CTY",2,"County Public Schools","000032000000","BRONX County"
"000033000000CTY",2,"County Public Schools","000033000000","KINGS County"
"000034000000CTY",2,"County Public Schools","000034000000","QUEENS County"
"000035000000CTY",2,"County Public Schools","000035000000","RICHMOND County"
"000040000000CTY",2,"County Public Schools","000040000000","NIAGARA County"
"000041000000CTY",2,"County Public Schools","000041000000","ONEIDA County"
"000042000000CTY",2,"County Public Schools","000042000000","ONONDAGA County"
"000043000000CTY",2,"County Public Schools","000043000000","ONTARIO County"
"000044000000CTY",2,"County Public Schools","000044000000","ORANGE County"
"000045000000CTY",2,"County Public Schools","000045000000","ORLEANS County"
"000046000000CTY",2,"County Public Schools","000046000000","OSWEGO County"
"000047000000CTY",2,"County Public Schools","000047000000","OTSEGO County"
"000048000000CTY",2,"County Public Schools","000048000000","PUTNAM County"
"000049000000CTY",2,"County Public Schools","000049000000","RENSSELAER County"
"000050000000CTY",2,"County Public Schools","000050000000","ROCKLAND County"
"000051000000CTY",2,"County Public Schools","000051000000","ST. LAWRENCE County"
"000052000000CTY",2,"County Public Schools","000052000000","SARATOGA County"
"000053000000CTY",2,"County Public Schools","000053000000","SCHENECTADY County"
"000054000000CTY",2,"County Public Schools","000054000000","SCHOHARIE County"
"000055000000CTY",2,"County Public Schools","000055000000","SCHUYLER County"
"000056000000CTY",2,"County Public Schools","000056000000","SENECA County"
"000057000000CTY",2,"County Public Schools","000057000000","STEUBEN County"
"000058000000CTY",2,"County Public Schools","000058000000","SUFFOLK County"
"000059000000CTY",2,"County Public Schools","000059000000","SULLIVAN County"
"000060000000CTY",2,"County Public Schools","000060000000","TIOGA County"
"000061000000CTY",2,"County Public Schools","000061000000","TOMPKINS County"
"000062000000CTY",2,"County Public Schools","000062000000","ULSTER County"
"000063000000CTY",2,"County Public Schools","000063000000","WARREN County"
"000064000000CTY",2,"County Public Schools","000064000000","WASHINGTON County"
"000065000000CTY",2,"County Public Schools","000065000000","WAYNE County"
"000066000000CTY",2,"County Public Schools","000066000000","WESTCHESTER County"
"000067000000CTY",2,"County Public Schools","000067000000","WYOMING County"
"000068000000CTY",2,"County Public Schools","000068000000","YATES County"
"7889678368",2,"County Public Schools","000099000000","NYC Public Schools County"
"000000000001NRC",3,"Needs Resource Capacity","000000000001","NYC Public Schools"
"000000000002NRC",3,"Needs Resource Capacity","000000000002","Large Cities"
"000000000003NRC",3,"Needs Resource Capacity","000000000003","High Need/Resource Urban-Suburban Districts"
"000000000004NRC",3,"Needs Resource Capacity","000000000004","High Need/Resource Rural Districts"
"000000000005NRC",3,"Needs Resource Capacity","000000000005","Average Need Districts"
"000000000006NRC",3,"Needs Resource Capacity","000000000006","Low Need Districts"
"000000000007NRC",3,"Needs Resource Capacity","000000000007","Charter Schools"
"800000055729",5,"Public School District","010100010000","ALBANY CITY SD"
"800000055478",5,"Public School District","010201040000","BERNE-KNOX-WESTERLO CSD"
"800000055452",5,"Public School District","010306060000","BETHLEHEM CSD"
"800000055435",5,"Public School District","010402060000","RAVENA-COEYMANS-SELKIRK CSD"
"800000055422",5,"Public School District","010500010000","COHOES CITY SD"
"800000055401",5,"Public School District","010601060000","SOUTH COLONIE CSD"
"800000055344",5,"Public School District","010615020000","MENANDS UFSD"
"800000061851",5,"Public School District","010623060000","NORTH COLONIE CSD"
"800000055319",5,"Public School District","010701030000","GREEN ISLAND UFSD"
"800000055306",5,"Public School District","010802060000","GUILDERLAND CSD"
"800000055278",5,"Public School District","011003060000","VOORHEESVILLE CSD"
"800000055260",5,"Public School District","011200010000","WATERVLIET CITY SD"
"800000055275",5,"Public School District","020101040000","ALFRED-ALMOND CSD"
"800000055223",5,"Public School District","020601040000","ANDOVER CSD"
"800000055232",5,"Public School District","020702040000","GENESEE VALLEY CSD "
"800000055215",5,"Public School District","020801040000","BELFAST CSD"
"800000055188",5,"Public School District","021102040000","CANASERAGA CSD"
